DRI Number,Project info,County,Initial Info Form Submision Date,Current Status,Data Center?
1627,"[['Name of Proposed Project:', 'Village @ Redwine'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Redwine Road @ North Commerce Drive -Land Lot 255'], ['Brief Description of Project:', '81-acre site to include aproximately 32% greenspace, 8000sf of retail space, 34000sf of office space and 988 residential units (multifamily, attached and detached).  The amenity package includes pools, clubhouses, community parks, sidewalks and will connect to the trail constructed in the Princeton Lakes development (City of Atlanta).'], ['Name of Proposed Project:', 'Village @ Redwine'], ['DRI ID Number:', '1627'], ['Developer/Applicant:', 'Paul N. Donnelly'], ['Telephone:', '(706) 343-1028'], ['Email(s):', 'paul@madisonlakes.net'], ['Estimated Value at Build-Out:', '$92,200,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$12,256,886'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of East Point'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.241920mgd'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Fulton County - Camp Creek Waste Water Treatment Plant'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.241920mgd'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Fulton,10/17/2007,Completed,TBD
1626,"[['Name of Proposed Project:', 'Wal-Mart.com Expansion'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '3101 Hwy 27 North'], ['Brief Description of Project:', 'Expansion of existing distribution center'], ['Name of Proposed Project:', 'Wal-Mart.com Expansion'], ['DRI ID Number:', '1626'], ['Developer/Applicant:', 'Wal-Mart'], ['Telephone:', '(479) 204-0722'], ['Email(s):', 'klwoode@wal-mart.com'], ['Estimated Value at Build-Out:', '$15 million Real Property'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$389,152'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Carroll County Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '16,000 GPD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Carrollton'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '16,000 GPD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Carroll,10/17/2007,Completed,TBD
1625,"[['Name of Proposed Project:', 'V at Vinings'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'District 17; Land Lot 885'], ['Brief Description of Project:', 'Mixed use development consisting of 78,000 square-feet of retail, 82,000 square-feet of office; 300 residential units; 150 senior living units; and 518,500 square-feet of future office space.'], ['Name of Proposed Project:', 'V at Vinings'], ['DRI ID Number:', '1625'], ['Developer/Applicant:', 'D & A Investment Group, LLC;'], ['Telephone:', '770-429-1499'], ['Email(s):', 'jmoore@mijs.com'], ['Estimated Value at Build-Out:', '$310,832,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$3,698,901'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Cobb County Water System'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.267'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Cobb County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.232 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Cobb,10/16/2007,Completed,TBD
1623,"[['Name of Proposed Project:', 'Hwy. 81 Development'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Hwy. 81 Winder, GA 0680'], ['Brief Description of Project:', 'Mixed Use Development\r\n300 Apartments\r\n58 single-family lots\r\n8 acres of commercial'], ['Name of Proposed Project:', 'Hwy. 81 Development'], ['DRI ID Number:', '1623'], ['Developer/Applicant:', 'Michael D. Carter'], ['Telephone:', '770-868-7624'], ['Email(s):', 'carterdevelopment@hotmail.com'], ['Estimated Value at Build-Out:', '50,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '1,000,000 per year'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Winder'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.10 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Barrow County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.075 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Barrow,10/12/2007,Completed,TBD
1620,"[['Name of Proposed Project:', 'Dalton Utilities Sewer Treatment Plant'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Crow Valley Road/I-75'], ['Brief Description of Project:', 'This will be the first of several sewer treatment projects to extend sewer into the unincorporated areas of Whitfield County'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Whitfield,10/11/2007,Terminated,TBD
1619,"[['Name of Proposed Project:', 'Blue Ridge Golf & River Club'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Curtis Switch Road / Jim Southit Road\r\n34d55\'34""N / 84d19\'55""W'], ['Brief Description of Project:', 'Residential Subdivision with amenities such as an 18 hole golf course, river club, pool and tennis facilities.  Project to include apr 223 lots and 92 cottage sites.  Primarily to be used as second homes or vacation homes.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Fannin,10/10/2007,Terminated,TBD
1618,"[['Name of Proposed Project:', 'Anvil Block Road Project'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Anvil Block & I-675  Southern right-of-way of Anvil Block Road and the western right-of-way of I-675'], ['Brief Description of Project:', '825,000 sq. ft. warehouse distribution /office facility'], ['Name of Proposed Project:', 'Anvil Block Road Project'], ['DRI ID Number:', '1618'], ['Developer/Applicant:', 'Duke Realty Corporation / Sandra Reeves'], ['Telephone:', '770-638-2511'], ['Email(s):', 'Sandra.reeves @dukerealty.com'], ['Estimated Value at Build-Out:', '$30,000,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$307,400.00'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Clayton County Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.03'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Clayton County Water Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.03'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Clayton,10/15/2007,Completed,TBD
1615,"[['Name of Proposed Project:', 'Fischer Crossings'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Intersection of State Rote 34 and Fischer Road in Newnan, GA. Longitude is -84.62161; Latitude is 33'], ['Brief Description of Project:', ""The total project area is made up of approximatly 110 acres at the intersection of State Route 34 and Fischer Road in Coweta County Georgia. The project is split up into three quadrants.  The first quadrant is to the Northeast interesction of S.R. 34 and Fischer Road.  It is comprised of 47+/- acres and will be developed to support 300,000 s.f. of retail and office space.  The second quadrant is to the Northwest intersection of S.R. 34 and Fischer Road.  It is comprised of 22.0 +/- acres and will be developed to support 170,000 s.f. of retail.  This quadrant will include a Sam's Club Facility, a CVS Pharmacy, and 9,000 s.f. resteraunt.  The third quadrant is to the Southwest intersection of S.R. 34 and Fischer Road.  It is comprised of 41.0 acres and will be developed to support an additiona 300,000 s.f. of retail space.  The total projected square footage for the development is estimated to be 770,000 s.f. of mixed use between retail and office space.""], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Coweta,10/8/2007,Withdrawn,TBD
1613,"[['Name of Proposed Project:', 'Arkwright Crossing on Ocmulgee (subject to change)'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '5641 Arkwright Rd'], ['Brief Description of Project:', 'Mixed use development. First phase will have 542 apartment units. Second phase could be 3 to 7 years away. Offices shall be 162,720 sq. ft. and open green space(subject to change)'], ['Name of Proposed Project:', 'Arkwright Crossing on Ocmulgee (subject to change)'], ['DRI ID Number:', '1613'], ['Developer/Applicant:', 'Ingram Enterprises/ ZT3 Placemaker Studio, Inc.'], ['Telephone:', '(478) 742-0035'], ['Email(s):', 'Zan@zt3placemaker.com'], ['Estimated Value at Build-Out:', '40-50 million dollars'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '+/- $200,00.00'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'MaconWater Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.22'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Macon Water Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.176'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Bibb,10/8/2007,Withdrawn,TBD
1612,"[['Name of Proposed Project:', 'Hampton Island Preserve'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Hampton Island off Retreat Road in Riceboro, Georgia \r\nLCTM C65 009 250.96 AC      LCTM C59 001 004'], ['Brief Description of Project:', 'The project will have a variety of uses which may include residential, agricultural/equestrian activities, light commercial,(chapel, dining areas and lodging for guests, a general store, fire house, etc.), recreational activities such as a golf course, a tennis complex, stables, swimming, parks, boating and possibly a marina. Hampton Island is a high end development located in east Liberty County and is located off of Retreat Road. The vision is to create a one-of-a-kind private retreat that preserves the marsh hammocks, great oak stands and wildlife found in this remote part of South Georgia. Preserve quality open space. Manage diverse habitats to create a haven where people can participate in, observe, enjoy and learn about the natural world. Create an organically built environment with structures, homes and common areas that reflect a true sense of place ant that are in-tune with the ebb and flow of nature and time. Create an enduring legacy. Create a rare place of privilege where people can escape from the demands of the world to reconnect with what is important to them. Development within the development will be governed by the Declaration of Covenants, Conditions and Restrictions for Hampton Island Preserve, LLC. as recorded in the register of the Clerk of Courts Deed Room for Liberty County, Georgia.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Liberty,10/8/2007,Withdrawn,TBD
1611,"[['Name of Proposed Project:', 'Highway 124 Mixed Use Project'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Barrow County Tax Parcel BR025-002, 002B and XX025-003'], ['Brief Description of Project:', 'Mixed use development consisting of approximately 106,700 square feet of building space for office and commercial uses, and approximately 206 residential townhome units.'], ['Name of Proposed Project:', 'Highway 124 Mixed Use Project'], ['DRI ID Number:', '1611'], ['Developer/Applicant:', 'Greg Hill'], ['Telephone:', '770-932-1938'], ['Email(s):', 'trbreno@bellsouth.net'], ['Estimated Value at Build-Out:', '70-75 MILLION'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '910,000/YEAR'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Town of Braselton (3 acres of this site is in the Barrow County water service area. The  total project site is 64.76 acres)'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.150 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Town of Braselton (3 acres of this site is in the Barrow County sewer service area. The  total project site is 64.76 acres)'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.130 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Jackson,10/2/2007,Withdrawn,TBD
1610,"[['Name of Proposed Project:', 'Locust Grove Retail'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'South side Bill Gardner Pkwy, along new Strong Rock Parkway, LL 183/2nd'], ['Brief Description of Project:', 'Major Commercial of over 1 million square feet of retail, with office, hotel, restaurants, 342  multifamily apartments, 20 large-lot residential, and open space.'], ['Name of Proposed Project:', 'Locust Grove Retail'], ['DRI ID Number:', '1610'], ['Developer/Applicant:', 'B. Jackson Bandy (rezoning applicant)'], ['Telephone:', '706-226-8835'], ['Email(s):', 'tdye@kilpatrickstockton.com'], ['Estimated Value at Build-Out:', '$132,500,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$6.03 million total ($1.931M pty/$4M sales/$100,000 other'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Locust Grove'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.253'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Locust Grove'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.220'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Henry,3/20/2008,Completed,TBD
1609,"[['Name of Proposed Project:', 'Magnolia Village'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Highway 400 at Stowers Road; Land Lots 41, 42, 80 and 81, 13th District'], ['Brief Description of Project:', 'Mixed use development with 546 residential units and 350,200 square feet of retail/office space.'], ['Name of Proposed Project:', 'Magnolia Village'], ['DRI ID Number:', '1609'], ['Developer/Applicant:', 'Crownway Properties, LLC'], ['Telephone:', '(678) 546-1675'], ['Email(s):', 'jim@planning.nu'], ['Estimated Value at Build-Out:', '$123 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$3.0 Million'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Etowah Water and Sewer Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.24 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Private on site'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.24 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Dawson,10/1/2007,Completed,TBD
1608,"[['Name of Proposed Project:', 'River Trail Planned Development'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'N 384,657.84, E 821,501.77\r\nWest of I-95, east of Dover Bluff and adjacent to Ella Park Church Road'], ['Brief Description of Project:', 'Mixed-use planned community that encompasses approximately 1,400,00 square feet in primarily commercial (retail and office) space, approximately 12,500 residential units, and a range of recreational, instutional, civic and municipal uses.'], ['Name of Proposed Project:', 'River Trail Planned Development'], ['DRI ID Number:', '1608'], ['Developer/Applicant:', 'International Paper Realty'], ['Telephone:', '912-330-8986'], ['Email(s):', 'tommy.haynes@ipaper.com'], ['Estimated Value at Build-Out:', '$3.4 billion'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$41.3 million'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Private local provider'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '3.65 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Private local provider'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '3.65 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Camden,9/25/2007,Completed,TBD
1606,"[['Name of Proposed Project:', 'City of Hahira Transfer Station'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '6751 or 6769 Union Road'], ['Brief Description of Project:', 'The City of Hahira wishes to apply for development of a transfer station in order to increase the economic health of their municipal solid waste management program.'], ['Name of Proposed Project:', 'City of Hahira Transfer Station'], ['DRI ID Number:', '1606'], ['Developer/Applicant:', 'Todd Griffin, Griffin Waste Services Inc.'], ['Telephone:', '(229) 794-2954'], ['Email(s):', 'griffinwaste@alltel.net'], ['Estimated Value at Build-Out:', '$500,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$19,100'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Hahira / Lowndes County'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '~0'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Hahira / Lowndes County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '~0'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Lowndes,9/21/2007,Terminated,TBD
1604,"[['Name of Proposed Project:', 'The Reserve at Wilson Creek'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Hardslate Road\r\nDistrict 6, Section 2, Land Lots 16, 17 & 18'], ['Brief Description of Project:', 'Planned Resources Group, LLC together with The Reserve at Wilson Creek Investors, LLC is planning an upscale second home development, known as Wilson Creek Reserve, on 448.17 acres in the northeastern section of Gilmer County, Georgia.  The property is zoned R-1 and allows for up to 223 single family homes.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Gilmer,9/21/2007,Terminated,TBD
1602,"[['Name of Proposed Project:', 'Grand Property Mixed Use Village'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Land Lots 142, 143, 146, & 147 in the 7th District, Land Lots 116 & 117 in the 9th District, Union C'], ['Brief Description of Project:', 'The project is located on the north side of South Fulton Parkway near the intersection of State Route 92. The property is approximately 202 acres and is proposed to have a mix of uses including single family and multi-family residential, age restricted independent living, neighborhood retail and professional and/or medical office uses. The project also includes approximately 64 acres of open space, which is over 30% of the site area. The existing zoning is Agricultural and the proposed zoning is Town Center Mixed Use, which is a form based zoning designation within Union City. The project shows proposed access from South Fulton Parkway to State Route 92, which is based on the recent Transportation Study adopted by the City of Union City. Adjacent to the project is a proposed retail development at the corner of South Fulton Parkway and S.R. 92, a middle school, and an elementary school.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Fulton,2/12/2008,Withdrawn,TBD
1601,"[['Name of Proposed Project:', 'Majestic King Mill Commerce Center'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Northeast corner of GA State Hwy 42 and King Mill Road.'], ['Brief Description of Project:', 'Industrial Distribution Business Park totaling 6,560,000 sf comprised of 7 buildings. This development will be rail served by Norfolk Southern in order to alleviate the overall traffic impact to the area.  The employee base is estimated to be 550-650 for the development.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Henry,9/20/2007,Withdrawn,TBD
1599,"[['Name of Proposed Project:', 'Forsyth Station Apartment Community'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '400 block of North Lee St., Forsyth, GA., Land lots 169 & 170, 6th Land District, Monroe County, GA'], ['Brief Description of Project:', 'A gated apartment community calling for 17 buildings with 292 apartment units and a clubhouse containing the rental office, laundry, mail, and exercise club.'], ['Name of Proposed Project:', 'Forsyth Station Apartment Community'], ['DRI ID Number:', '1599'], ['Developer/Applicant:', 'Ingram Development Properties, LLC/ZT3 Placemaker Studio, Inc'], ['Telephone:', '478-742-0005'], ['Email(s):', 'ZAN@ZT3Placemaker.com'], ['Estimated Value at Build-Out:', '20 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '+/- 100,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Forsyth'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.10'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Forsyth'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.08'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Monroe,9/19/2007,Completed,TBD
1597,"[['Name of Proposed Project:', 'County Farm Road Tract'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Landlot 14, 9th district, Pike County between County Farm Road & Hwy 18'], ['Brief Description of Project:', 'Planned mixed use consisting of the following:  Total area: 328 acres.  Total single family residential lots:  166 with a 1 acre minimum lot size.  There will be approximately 43 acres of open space provided within the subdivision. Approximately 5.7 acres of the 328 acre property will be utilized for light industrial and office space.'], ['Name of Proposed Project:', 'County Farm Road Tract'], ['DRI ID Number:', '1597'], ['Developer/Applicant:', 'Brent Scarbrough'], ['Telephone:', '770-461-0478'], ['Email(s):', 'donna_black@sandrdevelopment.com'], ['Estimated Value at Build-Out:', '$41 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$620,576'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Zebulon'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '48,708 gpd'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Zebulon'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '57,400 gpd'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Pike,9/19/2007,Completed,TBD
1596,"[['Name of Proposed Project:', 'CenterPoint Properties - Industrial Park -Savannah (1,850,000 SF)'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'N 32-06-07  W 81-11-10     P.I.N. 6-0924 -05-001'], ['Brief Description of Project:', 'Industrial Park with a total estimated building area of 1,850,000 square feet'], ['Name of Proposed Project:', 'CenterPoint Properties - Industrial Park -Savannah (1,850,000 SF)'], ['DRI ID Number:', '1596'], ['Developer/Applicant:', 'CenterPoint Properties'], ['Telephone:', '630-586-8000'], ['Email(s):', 'bmckiernan@cntprop.com'], ['Estimated Value at Build-Out:', '$85 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$6.7 Million (County taxes)'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Garden City'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.02'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Garden City'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.02'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Chatham,10/1/2007,Completed,TBD
1595,"[['Name of Proposed Project:', 'Cartium Grande'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '2161 Merchants Way, Duluth, GA (Dist 6; LL 232)'], ['Brief Description of Project:', 'Mixed Use Development: 414 high-rise condominiums; 28,950 sq ft retail; 21 guest quarters.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Gwinnett,9/14/2007,Withdrawn,TBD
1594,"[['Name of Proposed Project:', 'The Avenue Ridgewalk'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '34° 07\' 20""N, 84° 31\' 32""W'], ['Brief Description of Project:', 'This project consist of a +/- 39 acres to include 307,000 sq ft of commercial development located in the southeast quradrant of Woodstock Avenue and Ridgewalk Pkwy.  The development will also include seven (7) out lots on approx. 12 acres located in the southwest quadrant of same.'], ['Name of Proposed Project:', 'The Avenue Ridgewalk'], ['DRI ID Number:', '1594'], ['Developer/Applicant:', 'Cousins Properties Inc. - Bill Bassett'], ['Telephone:', '404-407-1000'], ['Email(s):', 'billbassett@cousinsproperties.com'], ['Estimated Value at Build-Out:', '$85,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$2,900,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Cherokee County Water and Sewer'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.01 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Cherokee County Water and Sewer'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.01 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Cherokee,9/13/2007,Completed,TBD
